Report Year,Overall Rank,Country,Happiness Score,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
2015,1,Switzerland,7.587,1.39651,1.34951,0.94143,0.66557,0.29678,0.41978,2.51738
2015,2,Iceland,7.561,1.30232,1.40223,0.94784,0.62877,0.4363,0.14145,2.70201
2015,3,Denmark,7.527,1.32548,1.36058,0.87464,0.64938,0.34139,0.48357,2.49204
2015,4,Norway,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503,2.46531
2015,5,Canada,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957,2.45176
2015,6,Finland,7.406,1.29025,1.31826,0.88911,0.64169,0.23351,0.41372,2.61955
2015,7,Netherlands,7.378,1.32944,1.28017,0.89284,0.61576,0.4761,0.31814,2.4657
2015,8,Sweden,7.364,1.33171,1.28907,0.91087,0.6598,0.36262,0.43844,2.37119
2015,9,New Zealand,7.286,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922,2.26425
2015,10,Australia,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637,2.26646
2015,11,Israel,7.278,1.22857,1.22393,0.91387,0.41319,0.33172,0.07785,3.08854
2015,12,Costa Rica,7.226,0.95578,1.23788,0.86027,0.63376,0.25497,0.10583,3.17728
2015,13,Austria,7.2,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676,2.5332
2015,14,Mexico,7.187,1.02054,0.91451,0.81444,0.48181,0.14074,0.21312,3.60214
2015,15,United States,7.119,1.39451,1.24711,0.86179,0.54604,0.40105,0.1589,2.51011
2015,16,Brazil,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521,3.26001
2015,17,Luxembourg,6.946,1.56391,1.21963,0.91894,0.61583,0.28034,0.37798,1.96961
2015,18,Ireland,6.94,1.33596,1.36948,0.89533,0.61777,0.45901,0.28703,1.9757
2015,19,Belgium,6.937,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254,2.41484
2015,20,United Arab Emirates,6.901,1.42727,1.12575,0.80925,0.64157,0.26428,0.38583,2.24743
2015,21,United Kingdom,6.867,1.26637,1.28548,0.90943,0.59625,0.51912,0.32067,1.96994
2015,22,Oman,6.853,1.36011,1.08182,0.76276,0.63274,0.21542,0.32524,2.47489
2015,23,Venezuela,6.81,1.04424,1.25596,0.72052,0.42908,0.05841,0.11069,3.19131
2015,24,Singapore,6.798,1.52186,1.02,1.02525,0.54252,0.31105,0.4921,1.88501
2015,25,Panama,6.786,1.06353,1.1985,0.79661,0.5421,0.24434,0.0927,2.84848
2015,26,Germany,6.75,1.32792,1.29937,0.89186,0.61477,0.28214,0.21843,2.11569
2015,27,Chile,6.67,1.10715,1.12447,0.85857,0.44132,0.33363,0.12869,2.67585
2015,28,Qatar,6.611,1.69042,1.0786,0.79733,0.6404,0.32573,0.52208,1.55674
2015,29,France,6.575,1.27778,1.26038,0.94579,0.55011,0.12332,0.20646,2.21126
2015,30,Argentina,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484,2.836
2015,31,Czech Republic,6.505,1.17898,1.20643,0.84483,0.46364,0.10686,0.02652,2.67782
2015,32,Uruguay,6.485,1.06166,1.2089,0.8116,0.60362,0.2324,0.24558,2.32142
2015,33,Colombia,6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512,2.85737
2015,34,Thailand,6.455,0.9669,1.26504,0.7385,0.55664,0.5763,0.03187,2.31945
2015,35,Saudi Arabia,6.411,1.39541,1.08393,0.72025,0.31048,0.13706,0.32524,2.43872
2015,36,Spain,6.329,1.23011,1.31379,0.95562,0.45951,0.18227,0.06398,2.12367
2015,37,Malta,6.302,1.2074,1.30203,0.88721,0.60365,0.51752,0.13586,1.6488
2015,38,Taiwan,6.298,1.29098,1.07617,0.8753,0.3974,0.25376,0.08129,2.32323
2015,39,Kuwait,6.295,1.55422,1.16594,0.72492,0.55499,0.16228,0.25609,1.87634
2015,40,Suriname,6.269,0.99534,0.972,0.6082,0.59657,0.16991,0.13633,2.79094
2015,41,Trinidad and Tobago,6.168,1.21183,1.18354,0.61483,0.55884,0.31844,0.0114,2.26882
2015,42,El Salvador,6.13,0.76454,1.02507,0.67737,0.4035,0.10692,0.11776,3.035
2015,43,Guatemala,6.123,0.74553,1.04356,0.64425,0.57733,0.27489,0.09472,2.74255
2015,44,Uzbekistan,6.003,0.63244,1.34043,0.59772,0.65821,0.22837,0.30826,2.23741
2015,45,Slovakia,5.995,1.16891,1.26999,0.78902,0.31751,0.16893,0.03431,2.24639
2015,46,Japan,5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806,1.68435
2015,47,South Korea,5.984,1.24461,0.95774,0.96538,0.33208,0.18557,0.07857,2.21978
2015,48,Ecuador,5.975,0.86402,0.99903,0.79075,0.48574,0.11541,0.1809,2.53942
2015,49,Bahrain,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306,1.73797
2015,50,Italy,5.948,1.25114,1.19777,0.95446,0.26236,0.22823,0.02901,2.02518
2015,51,Bolivia,5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.088,2.82334
2015,52,Moldova,5.889,0.59448,1.01528,0.61826,0.32818,0.20951,0.01615,3.10712
2015,53,Paraguay,5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242,2.18896
2015,54,Kazakhstan,5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454,2.24729
2015,55,Slovenia,5.848,1.18498,1.27385,0.87337,0.60855,0.25328,0.03787,1.61583
2015,56,Lithuania,5.833,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031,2.44649
2015,57,Nicaragua,5.828,0.59325,1.14184,0.74314,0.55475,0.27815,0.19317,2.32407
2015,58,Peru,5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989,2.5945
2015,59,Belarus,5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909,2.1309
2015,60,Poland,5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212,1.86565
2015,61,Malaysia,5.77,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501,1.88541
2015,62,Croatia,5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243,2.75414
2015,63,Libya,5.754,1.13145,1.11862,0.7038,0.41668,0.18295,0.11023,2.09066
2015,64,Russia,5.716,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005,2.27394
2015,65,Jamaica,5.709,0.81038,1.15102,0.68741,0.50442,0.2123,0.02299,2.32038
2015,66,North Cyprus,5.695,1.20806,1.07008,0.92356,0.49027,0.26169,0.1428,1.59888
2015,67,Cyprus,5.689,1.20813,0.89318,0.92356,0.40672,0.30638,0.06146,1.88931
2015,68,Algeria,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383,2.43209
2015,69,Kosovo,5.589,0.80148,0.81198,0.63132,0.24749,0.2831,0.04741,2.76579
2015,70,Turkmenistan,5.548,0.95847,1.22668,0.53886,0.4761,0.16979,0.30844,1.86984
2015,71,Mauritius,5.477,1.00761,0.98521,0.7095,0.56066,0.37744,0.07521,1.76145
2015,72,Hong Kong,5.474,1.38604,1.05818,1.01328,0.59608,0.39478,0.37124,0.65429
2015,73,Estonia,5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,1.58782
2015,74,Indonesia,5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0,1.86399
2015,75,Vietnam,5.36,0.63216,0.91226,0.74676,0.59444,0.1686,0.10441,2.20173
2015,76,Turkey,5.332,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746,2.08528
2015,77,Kyrgyzstan,5.286,0.47428,1.15115,0.65088,0.43477,0.3003,0.04232,2.2327
2015,78,Nigeria,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403,2.89319
2015,79,Bhutan,5.253,0.77042,1.10395,0.57407,0.53206,0.47998,0.15445,1.63794
2015,80,Azerbaijan,5.212,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065,2.00073
2015,81,Pakistan,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464,3.10709
2015,82,Jordan,5.192,0.90198,1.05392,0.69639,0.40661,0.11053,0.14293,1.87996
2015,82,Montenegro,5.192,0.97438,0.90557,0.72521,0.1826,0.1614,0.14296,2.10017
2015,84,China,5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781,1.8604
2015,85,Zambia,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468,2.6343
2015,86,Romania,5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649,1.93129
2015,87,Serbia,5.123,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617,2.025
2015,88,Portugal,5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078,1.26462
2015,89,Latvia,5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332,1.62215
2015,90,Philippines,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279,1.7536
2015,91,Somaliland region,5.057,0.18847,0.95152,0.43873,0.46582,0.50318,0.39928,2.11032
2015,92,Morocco,5.013,0.73479,0.64095,0.60954,0.41691,0.07172,0.08546,2.45373
2015,93,Macedonia,5.007,0.91851,1.00232,0.73545,0.33457,0.22359,0.05327,1.73933
2015,94,Mozambique,4.971,0.08308,1.02626,0.09131,0.34037,0.22269,0.15603,3.05137
2015,95,Albania,4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413,1.89894
2015,96,Bosnia and Herzegovina,4.949,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227,2.06367
2015,97,Lesotho,4.898,0.37545,1.04103,0.07612,0.31767,0.16388,0.12504,2.79832
2015,98,Dominican Republic,4.885,0.89537,1.17202,0.66825,0.57672,0.21684,0.14234,1.21305
2015,99,Laos,4.876,0.59066,0.73803,0.54909,0.59591,0.42192,0.24249,1.73799
2015,100,Mongolia,4.874,0.82819,1.3006,0.60268,0.43626,0.3323,0.02666,1.34759
2015,101,Swaziland,4.867,0.71206,1.07284,0.07566,0.30658,0.18259,0.0306,2.48676
2015,102,Greece,4.857,1.15406,0.92933,0.88213,0.07699,0,0.01397,1.80101
2015,103,Lebanon,4.839,1.02564,0.80001,0.83947,0.33916,0.21854,0.04582,1.57059
2015,104,Hungary,4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758,1.24074
2015,105,Honduras,4.788,0.59532,0.95348,0.6951,0.40148,0.23027,0.06825,1.84408
2015,106,Tajikistan,4.786,0.39047,0.85563,0.57379,0.47216,0.22974,0.15072,2.11399
2015,107,Tunisia,4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358,2.12466
2015,108,Palestinian Territories,4.715,0.59867,0.92558,0.66015,0.24499,0.11251,0.12905,2.04384
2015,109,Bangladesh,4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569,2.51767
2015,110,Iran,4.686,1.0088,0.54447,0.69805,0.30033,0.38086,0.05863,1.6944
2015,111,Ukraine,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,1.5714
2015,112,Iraq,4.677,0.98549,0.81889,0.60237,0,0.17922,0.13788,1.95335
2015,113,South Africa,4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884,1.71956
2015,114,Ghana,4.633,0.54558,0.67954,0.40132,0.42342,0.23087,0.04355,2.30919
2015,115,Zimbabwe,4.61,0.271,1.03276,0.33475,0.25861,0.18987,0.08079,2.44191
2015,116,Liberia,4.571,0.0712,0.78968,0.34201,0.28531,0.24362,0.06232,2.77729
2015,117,India,4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492,2.27513
2015,118,Sudan,4.55,0.52107,1.01404,0.36878,0.10081,0.19062,0.1466,2.20857
2015,119,Haiti,4.518,0.26673,0.74302,0.38847,0.24425,0.46187,0.17175,2.24173
2015,120,Congo (Kinshasa),4.517,0,1.0012,0.09806,0.22605,0.24834,0.07625,2.86712
2015,121,Nepal,4.514,0.35997,0.86449,0.56874,0.38282,0.32296,0.05907,1.95637
2015,122,Ethiopia,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048,2.44876
2015,123,Sierra Leone,4.507,0.33024,0.95571,0,0.4084,0.21488,0.08786,2.51009
2015,124,Mauritania,4.436,0.45407,0.86908,0.35874,0.24232,0.219,0.17461,2.11773
2015,125,Kenya,4.419,0.36471,0.99876,0.41435,0.42215,0.37542,0.05839,1.78555
2015,126,Djibouti,4.369,0.44025,0.59207,0.36291,0.46074,0.18093,0.28105,2.05125
2015,127,Armenia,4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039,1.75873
2015,128,Botswana,4.332,0.99355,1.10464,0.04776,0.49495,0.10461,0.12474,1.46181
2015,129,Myanmar,4.307,0.27108,0.70905,0.48246,0.44017,0.79588,0.19034,1.41805
2015,130,Georgia,4.297,0.7419,0.38562,0.72926,0.40577,0.05547,0.38331,1.59541
2015,131,Malawi,4.292,0.01604,0.41134,0.22562,0.43054,0.33128,0.06977,2.80791
2015,132,Sri Lanka,4.271,0.83524,1.01905,0.70806,0.53726,0.40828,0.09179,0.67108
2015,133,Cameroon,4.252,0.4225,0.88767,0.23402,0.49309,0.20618,0.05786,1.95071
2015,134,Bulgaria,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872,0.89991
2015,135,Egypt,4.194,0.8818,0.747,0.61712,0.17288,0.11291,0.06324,1.59927
2015,136,Yemen,4.077,0.54649,0.68093,0.40064,0.35571,0.09131,0.07854,1.92313
2015,137,Angola,4.033,0.75778,0.8604,0.16683,0.10384,0.12344,0.07122,1.94939
2015,138,Mali,3.995,0.26074,1.03526,0.20583,0.38857,0.18798,0.12352,1.79293
2015,139,Congo (Brazzaville),3.989,0.67866,0.6629,0.31051,0.41466,0.12388,0.11686,1.68135
2015,140,Comoros,3.956,0.23906,0.79273,0.36315,0.22917,0.17441,0.199,1.95812
2015,141,Uganda,3.931,0.21102,1.13299,0.33861,0.45727,0.29066,0.07267,1.42766
2015,142,Senegal,3.904,0.36498,0.97619,0.4354,0.36772,0.20843,0.10713,1.44395
2015,143,Gabon,3.896,1.06024,0.90528,0.43372,0.31914,0.06822,0.11091,0.99895
2015,144,Niger,3.845,0.0694,0.77265,0.29707,0.47692,0.19387,0.15639,1.87877
2015,145,Cambodia,3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247,0.98195
2015,146,Tanzania,3.781,0.2852,1.00268,0.38215,0.32878,0.34377,0.05747,1.38079
2015,147,Madagascar,3.681,0.20824,0.66801,0.46721,0.19184,0.21333,0.08124,1.851
2015,148,Central African Republic,3.678,0.0785,0,0.06699,0.48879,0.23835,0.08289,2.7223
2015,149,Chad,3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269,1.94296
2015,150,Guinea,3.656,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139,1.99172
2015,151,Ivory Coast,3.655,0.46534,0.77115,0.15185,0.46866,0.20165,0.17922,1.41723
2015,152,Burkina Faso,3.587,0.25812,0.85188,0.27125,0.39493,0.21747,0.12832,1.46494
2015,153,Afghanistan,3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719,1.9521
2015,154,Rwanda,3.465,0.22208,0.7737,0.42864,0.59201,0.22628,0.55191,0.67042
2015,155,Benin,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801,1.63328
2015,156,Syria,3.006,0.6632,0.47489,0.72193,0.15684,0.47179,0.18906,0.32858
2015,157,Burundi,2.905,0.0153,0.41587,0.22396,0.1185,0.19727,0.10062,1.83302
2015,158,Togo,2.839,0.20868,0.13995,0.28443,0.36453,0.16681,0.10731,1.56726
2016,1,Denmark,7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453,2.73939
2016,2,Switzerland,7.509,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203,2.69463
2016,3,Iceland,7.501,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975,2.83137
2016,4,Norway,7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776,2.66465
2016,5,Finland,7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,2.82596
2016,6,Canada,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,2.70485
2016,7,Netherlands,7.339,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927,2.70749
2016,8,New Zealand,7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904,2.47553
2016,9,Australia,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331,2.5465
2016,10,Sweden,7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867,2.54734
2016,11,Israel,7.267,1.33766,0.99537,0.84917,0.36432,0.32288,0.08728,3.31029
2016,12,Austria,7.119,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348,2.69343
2016,13,United States,7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868,2.72782
2016,14,Costa Rica,7.087,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547,3.35168
2016,15,Puerto Rico,7.039,1.35943,1.08113,0.77758,0.46823,0.22202,0.12275,3.0076
2016,16,Germany,6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551,2.50931
2016,17,Brazil,6.952,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166,3.50733
2016,18,Belgium,6.929,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248,2.61355
2016,19,Ireland,6.907,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754,2.15988
2016,20,Luxembourg,6.871,1.69752,1.03999,0.84542,0.5487,0.27571,0.35329,2.11055
2016,21,Mexico,6.778,1.11508,0.7146,0.71143,0.37709,0.11735,0.18355,3.55906
2016,22,Singapore,6.739,1.64555,0.86758,0.94719,0.4877,0.32706,0.46987,1.99375
2016,23,United Kingdom,6.725,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399,2.14999
2016,24,Chile,6.705,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451,2.95505
2016,25,Panama,6.701,1.18306,0.98912,0.70835,0.48927,0.2418,0.08423,3.00559
2016,26,Argentina,6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296,3.12985
2016,27,Czech Republic,6.596,1.30915,1.00793,0.76376,0.41418,0.09929,0.03986,2.96211
2016,28,United Arab Emirates,6.573,1.57352,0.87114,0.72993,0.56215,0.26591,0.35561,2.21507
2016,29,Uruguay,6.545,1.18157,1.03143,0.72183,0.54388,0.18056,0.21394,2.67139
2016,30,Malta,6.488,1.30782,1.09879,0.80315,0.54994,0.56237,0.17554,1.99032
2016,31,Colombia,6.481,1.03032,1.02169,0.59659,0.44735,0.15626,0.05399,3.17471
2016,32,France,6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808,2.4744
2016,33,Thailand,6.474,1.0893,1.04477,0.64915,0.49553,0.58696,0.02833,2.5796
2016,34,Saudi Arabia,6.379,1.48953,0.84829,0.59267,0.37904,0.15457,0.30008,2.61482
2016,34,Taiwan,6.379,1.39729,0.92624,0.79565,0.32377,0.25495,0.0663,2.61523
2016,36,Qatar,6.375,1.82427,0.87964,0.71723,0.56679,0.32388,0.48049,1.58224
2016,37,Spain,6.361,1.34253,1.12945,0.87896,0.37545,0.17665,0.06137,2.39663
2016,38,Algeria,6.355,1.05266,0.83309,0.61804,0.21006,0.07044,0.16157,3.40904
2016,39,Guatemala,6.324,0.83454,0.87119,0.54039,0.50379,0.28808,0.08701,3.19863
2016,40,Suriname,6.269,1.09686,0.77866,0.50933,0.52234,0.16665,0.12692,3.06852
2016,41,Kuwait,6.239,1.61714,0.87758,0.63569,0.43166,0.15965,0.23669,2.28085
2016,42,Bahrain,6.218,1.44024,0.94397,0.65696,0.47375,0.17147,0.25772,2.27405
2016,43,Trinidad and Tobago,6.168,1.32572,0.98569,0.52608,0.48453,0.31935,0.01241,2.51394
2016,44,Venezuela,6.084,1.13367,1.03302,0.61904,0.19847,0.0425,0.08304,2.97468
2016,45,Slovakia,6.078,1.27973,1.08268,0.70367,0.23391,0.13837,0.02947,2.61065
2016,46,El Salvador,6.068,0.8737,0.80975,0.596,0.37269,0.08877,0.10613,3.22134
2016,47,Malaysia,6.005,1.25142,0.88025,0.62366,0.39031,0.41474,0.09081,2.35384
2016,48,Nicaragua,5.992,0.69384,0.89521,0.65213,0.46582,0.29773,0.16292,2.82428
2016,49,Uzbekistan,5.987,0.73591,1.1681,0.50163,0.60848,0.34326,0.28333,2.34638
2016,50,Italy,5.977,1.35495,1.04167,0.85102,0.18827,0.16684,0.02556,2.34918
2016,51,Ecuador,5.976,0.97306,0.85974,0.68613,0.4027,0.10074,0.18037,2.77366
2016,52,Belize,5.956,0.87616,0.68655,0.45569,0.51231,0.23684,0.10771,3.08039
2016,53,Japan,5.921,1.38007,1.06054,0.91491,0.46761,0.10224,0.18985,1.80584
2016,54,Kazakhstan,5.919,1.22943,0.95544,0.57386,0.4052,0.15011,0.11132,2.49325
2016,55,Moldova,5.897,0.69177,0.83132,0.52309,0.25202,0.19997,0.01903,3.38007
2016,56,Russia,5.856,1.23228,1.05261,0.58991,0.32682,0.02736,0.03586,2.59115
2016,57,Poland,5.835,1.24585,1.04685,0.69058,0.4519,0.14443,0.055,2.20035
2016,57,South Korea,5.835,1.35948,0.72194,0.88645,0.25168,0.18824,0.07716,2.35015
2016,59,Bolivia,5.822,0.79422,0.83779,0.4697,0.50961,0.21698,0.07746,2.91635
2016,60,Lithuania,5.813,1.2692,1.06411,0.64674,0.18929,0.02025,0.0182,2.60525
2016,61,Belarus,5.802,1.13062,1.04993,0.63104,0.29091,0.13942,0.17457,2.38582
2016,62,North Cyprus,5.771,1.31141,0.81826,0.84142,0.43596,0.26322,0.16578,1.93447
2016,63,Slovenia,5.768,1.29947,1.05613,0.79151,0.53164,0.25738,0.03635,1.79522
2016,64,Peru,5.743,0.99602,0.81255,0.62994,0.37502,0.14527,0.05292,2.73117
2016,65,Turkmenistan,5.658,1.08017,1.03817,0.44006,0.37408,0.22567,0.28467,2.21489
2016,66,Mauritius,5.648,1.14372,0.75695,0.66189,0.46145,0.36951,0.05203,2.20223
2016,67,Libya,5.615,1.06688,0.95076,0.52304,0.40672,0.17087,0.10339,2.39374
2016,68,Latvia,5.56,1.21788,0.95025,0.63952,0.27996,0.17445,0.0889,2.20859
2016,69,Cyprus,5.546,1.31857,0.70697,0.8488,0.29507,0.27906,0.05228,2.04497
2016,70,Paraguay,5.538,0.89373,1.11111,0.58295,0.46235,0.25296,0.07396,2.16091
2016,71,Romania,5.528,1.1697,0.72803,0.67602,0.36712,0.12889,0.00679,2.45184
2016,72,Estonia,5.517,1.27964,1.05163,0.68098,0.41511,0.08423,0.18519,1.81985
2016,73,Jamaica,5.51,0.89333,0.96372,0.59469,0.43597,0.22245,0.04294,2.35682
2016,74,Croatia,5.488,1.18649,0.60809,0.70524,0.23907,0.18434,0.04002,2.52462
2016,75,Hong Kong,5.458,1.5107,0.87021,0.95277,0.48079,0.40097,0.31647,0.92614
2016,76,Somalia,5.44,0,0.33613,0.11466,0.56778,0.27225,0.3118,3.83772
2016,77,Kosovo,5.401,0.90145,0.66062,0.54,0.14396,0.27992,0.06547,2.80998
2016,78,Turkey,5.389,1.16492,0.87717,0.64718,0.23889,0.04707,0.12348,2.29074
2016,79,Indonesia,5.314,0.95104,0.87625,0.49374,0.39237,0.56521,0.00322,2.03171
2016,80,Jordan,5.303,0.99673,0.86216,0.60712,0.36023,0.14262,0.13297,2.20142
2016,81,Azerbaijan,5.291,1.12373,0.76042,0.54504,0.35327,0.0564,0.17914,2.2735
2016,82,Philippines,5.279,0.81217,0.87877,0.47036,0.54854,0.21674,0.11757,2.23484
2016,83,China,5.245,1.0278,0.79381,0.73561,0.44012,0.04959,0.02745,2.17087
2016,84,Bhutan,5.196,0.8527,0.90836,0.49759,0.46074,0.48546,0.1616,1.82916
2016,85,Kyrgyzstan,5.185,0.56044,0.95434,0.55449,0.40212,0.38432,0.04762,2.28136
2016,86,Serbia,5.177,1.03437,0.81329,0.6458,0.15718,0.20737,0.04339,2.27539
2016,87,Bosnia and Herzegovina,5.163,0.93383,0.64367,0.70766,0.09511,0.29889,0,2.48406
2016,88,Montenegro,5.161,1.07838,0.74173,0.63533,0.15111,0.17191,0.12721,2.25531
2016,89,Dominican Republic,5.155,1.02787,0.99496,0.57669,0.52259,0.21286,0.12372,1.69626
2016,90,Morocco,5.151,0.84058,0.38595,0.59471,0.25646,0.04053,0.08404,2.94891
2016,91,Hungary,5.145,1.24142,0.93164,0.67608,0.1977,0.099,0.04472,1.95473
2016,92,Pakistan,5.132,0.68816,0.26135,0.40306,0.14622,0.31185,0.1388,3.18286
